title,artist,lyric_url,lyric,spotify_track_id
INK,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/INK_อิ้งค์%20วรันธร,"
ระหว่างที่ฉันและเธอ
อยู่ด้วยกันกลางเสียงเพลง
ได้มายืนใกล้ๆ กัน
ฉันมีเรื่องจะถามเธอ

ชั่วโมงนี้เป็นไปได้ไหม ขอให้เธอทิ้งทุกอย่างไว้ก่อน
ชั่วโมงนี้ช่างมันไปไม่ต้องสนใจ
ขอแค่เราได้ไหม แค่ฉันกับเธอ
แค่ฉันกับเธอ
แค่ฉันกับเธอ
แค่ฉันกับเธอ

เพราะคืนนี้ มันจะไม่เหมือนค่ำคืนไหนที่เจอ
ถ้าเราไม่ได้อยู่ด้วยกัน
มันก็คงจะน่าเสียดาย
อยากจะขอเธอ

ชั่วโมงนี้เป็นไปได้ไหม ขอให้เธอทิ้งทุกอย่างไว้ก่อน
ชั่วโมงนี้ช่างมันไปไม่ต้องสนใจ
ขอแค่เราได้ไหม แค่ฉันกับเธอ
แค่ฉันกับเธอ
แค่ฉันกับเธอ
แค่ฉันกับเธอ",5fCFj6M5BQQJ8t2EiExd3Z?si=577c75218c644f70
Snap,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/Snap_อิ้งค์%20วรันธร,"
ทุก ๆ ครั้งที่เห็นดาวบนฟ้าทุก ๆ ครั้งฉันนั้นก็ไม่เคยห้ามใจอยากเอื้อมไปคว้ามาทั้งทั้งที่รู้ว่าชื่นชมได้แค่เพียงสายตาทุก ๆ ครั้งที่ฉันมองที่เธอทุก ๆ ครั้งฉันนั้นก็ไม่เคยห้ามใจบอกเธอด้วยสายตาทั้ง ๆ ที่รู้คงไม่ทำเธอให้มองหันมาแต่ตอนนี้ใกล้แค่นี้หรือว่าฉันฝันไปใกล้กันขนาดนี้อยากหยุดเวลาไว้จะได้ไหมปล่อยให้หัวใจได้ใกล้ใกล้เธอจะเก็บเธอเอาไว้ใช้นอนเพ้อแค่เป็นเธอแค่เป็นเธอโอ๊ะโอวแค่นี้ก็คงพอรู้ทั้งรู้ว่าฉันยังห่างไกลรู้ทั้งรู้ว่าเกินที่จะเป็นไปได้แต่แค่สบสายตาอะไรอะไรมันก็พาใจฉันลอยหายไปแต่ตอนนี้ใกล้แค่นี้หรือว่าฉันฝันไปใกล้กันขนาดนี้อยากหยุดเวลาไว้จะได้ไหมปล่อยให้หัวใจได้ใกล้ใกล้เธอจะเก็บเธอเอาไว้ใช้นอนเพ้อแค่เป็นเธอแค่เป็นเธอโอ๊ะโอวแค่นี้ก็คงพออยากหยุดเวลาไว้จะได้ไหมปล่อยให้หัวใจได้ใกล้ใกล้เธอจะเก็บเธอเอาไว้ใช้นอนเพ้อแค่เป็นเธอแค่เป็นเธอโอ๊ะโอวอยากหยุดเวลาไว้จะได้ไหมปล่อยให้หัวใจได้ใกล้ใกล้เธอจะเก็บเธอเอาไว้ใช้นอนเพ้อแค่เป็นเธอแค่เป็นเธอโอ๊ะโอวแค่นี้ก็คงพอCan I stay any longer to keep you herewith me by my side?Baby please don't you ever say goodbyejust let this moment fly",0qDfBvaJe1UzCvE2VGTHOV?si=55570694a3814ce3
กลับก่อนนะ,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/กลับก่อนนะ_อิ้งค์%20วรันธร,"
ที่ฉันยอมมาในคืนนี้ รู้ไหมว่าเพราะอะไร
ไม่ใช่เพราะบรรยากาศ ไม่ใช่เพราะมาเจอใคร
แต่อยากมาเจอกับเธอ

รู้ไหมว่าความรู้สึกนี้ ฉันเก็บมาเนิ่นนานเท่าไหร่
อยากจะได้พูดคุยกัน อยากจะได้ใกล้ชิดกัน
อย่างที่ฉันคิดเอาไว้

แต่มันไม่เหมือนที่คิดเลย เพราะคืนนี้เธอมากับเขา

ฉันต้องขอกลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว

ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลา
มันไม่ใช่ที่ของฉัน

กลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว

ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลา
และเสียน้ำตา ต่อหน้าของเธอและเขา

ใครจะมาเข้าใจฉันตอนนี้ ใครมันจะไปรู้ว่าการต้องเสียใจ
แต่เธอไม่รู้ มันน่าน้อยใจแค่ไหน

ฉันต้องขอกลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว

ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลา
มันไม่ใช่ที่ของฉัน

กลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว

ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลาและเสียน้ำตา
ต่อหน้าของเธอและเขา",7EtCnq7brD1RU8ldqKWB0I?si=bd658bf297a749a4
เก่งแต่เรื่องคนอื่น,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/เก่งแต่เรื่องคนอื่น_อิ้งค์%20วรันธร,"
ใครจะมาปรึกษาให้ฉันแก้ปัญหา
จะไปยากอะไร อยากให้ช่วยก็บอก
ใครนั้นมีปัญหาเรื่องความรักแบบไหน
ฉันนั้นเซียนพอๆ กับพี่อ้อยพี่ฉอด

* เค้าไม่แคร์ เราก็ไม่ต้องสนใจ
เค้าไม่ดี เราก็แค่ไปหาใหม่
เรื่องความรักจะยากอะไร
ก็ง่ายแค่นี้เอง

** เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกิน ไปเรียนมาจากไหน
เก่งเหลือเกินไปสอนความรักให้ใคร
แต่เรื่องตัวเองไม่รอดสักที
เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกินพอเป็นเรื่องของเค้า
เก่งเหลือเกินทำไม แล้วฉันยังเหงา สุดท้ายก็พ่ายแพ้ทุกที

เก่งเหลือเกินไม่รู้เรียนมาจากไหน
โดยบังเอิญเกินที่ตัวเรานั้นจะไหว
ก็เหมือนเดิมไม่มีคนบอก good night
เหงาเหมือนเคยไม่มีคนคุยกับไปร์ท

ให้คำปรึกษาซะดี
เเต่ฟงแต่เเฟนตัวเองไม่มี
มันยังไม่เจอสักที
เเต่ทีคนอื่นเเนะนำซะดี
ไม่เห็นแม้เงา ก็มีเเค่เรา
เห้ยมันยังไงหนิ
เรื่องอื่นช่ำชอง ที่ใจหมายปอง
มันกลับไม่มีอีก

ช่วยได้หมดถ้ามีปัญหา ปรึกษาปัญหาใจ
โทรมาให้ไวอย่ามัวมาช้า ไม่ว่าปัญหาใคร
เเต่เรื่องตัวเองนึกทียังล้า มันเป็นงั้นได้ไง
นั่งเหงาเที่ยงคืนจนไปถึงเช้า โอ้ยผมจะบ้าตาย

นั่งอยู่ถึงตีสองยังไม่นอน
คนรู้ใจตอนนี้ก็ไม่มี
หรือเรื่องสาวเรานั้นคงต้องพอ
ไว้เธอมีใจค่อยฟอล IG

(ซ้ำ *, **, **)",0N5DeGdC258DI3DZEn2SEI?si=a58a3fabb0c64c8d
เกี่ยวกันไหม,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/เกี่ยวกันไหม_อิ้งค์%20วรันธร,"
ทำไม เพลงรักเพลงซึ้งที่ฉันไม่เคยชอบฟัง
พอได้ยินช่วงนี้ทีไร ฉันเผลอร้องตามทุกคำ
ธรรมดาเที่ยงคืนปิดไฟ รีบนอนให้พ้นคืนวัน
เเต่คืนนี้ฉันพยายามเท่าไหร่ก็ทำไม่ได้

มันเหมือนไม่เป็นตัวเอง..มันไม่ใช่ฉัน
เหตุผลมันเพราะอะไร..ไม่รู้เหมือนกัน
แต่พอนึกย้อนดีๆ ที่ฉันเริ่มเป็นแบบนี้ 

มันเกี่ยวกันไหม ที่เธอได้เดินเข้ามา
ที่เธอได้มาสบตา ตัวฉันถึงเป็นแบบนี้
มันเกี่ยวกันไหม เมื่อไหร่ที่เธอนั้นยิ้มให้ฉัน
เหมือนโลกดูเปลี่ยนไป
เหตุผลก็เพราะว่าเธอ ใช่หรือเปล่า

ทำไมเวลามีใคร เขาเล่าเรื่องเธอให้ฟัง
ฉันสงสัยอยากรู้อยากถามมากกว่าเรื่องใดทุกครั้ง",5PoQpjsj902TmAtCOKVO2A?si=3a144177aff64d37
ความลับมีในโลก,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/ความลับมีในโลก_อิ้งค์%20วรันธร,"
ใครบอกว่าความลับนั้นไม่มีอยู่จริง
ใครบอกว่าความลับซักวันต้องเปิดเผย
ไม่จริงเพราะความลับของฉันนั้นไม่เคย
ประกาศให้ใครรู้ ไม่เฉลยซักที

ยังเก็บไว้ นานแล้วเธอรู้บ้างไหม
ความลับยังคงมีอยู่ตรงนี้
แม้ว่าความจริงในหัวใจ

อยากให้เธอรู้ว่าฉันคิดยังไง
อยากให้เธอรู้ว่าฉันรักเธอแค่ไหน
แต่ก็กลัว เมื่อเธอได้ยิน ถ้าฉันพูดไป
จะต้องมานั่งเสียใจ รึเปล่า

ฉันคนเดียวที่รู้ความลับมีอยู่จริง
บังเอิญว่าตัวฉัน นั้นไม่ชอบเปิดเผย
รอให้เธอมาค้น เธอนั้นก็ไม่เคย
เลยไม่ได้เฉลย จบแบบนี้ทุกที",12OcSYq9homFUUyerFDGy2?si=4f3c1b3054ff4c80
ฉันต้องคิดถึงเธอแบบไหน (Cloudy),อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/ฉันต้องคิดถึงเธอแบบไหน%20(Cloudy)_อิ้งค์%20วรันธร,"
เธอคือลมเย็นๆ พัดมาเมื่อยามที่ไม่มีใคร 
ให้ฉันรู้สึก ทำให้คิดไปไกล
อยากเก็บวันเวลาดีๆ ไม่อยากให้เธอหายไป
แต่ต้องทำยังไง กับคำถามมากมาย

* บางวันก็เหมือนว่าฉันนั้นมีเธออยู่ แต่ในบางวันก็เหมือนไม่มี
ใจมันหวั่นไหวโปรดเธอนั้นช่วยบอกกันสักที

** อยากจะรู้ว่าฉันควรทำยังไง ต้องคิดถึงเธอแบบไหน 
แค่คนรู้จักหรือคนรู้ใจ บอกได้มั้ยว่าที่ที่ฉันจะยืน 
ควรจะอยู่ตรงไหน (จะมีเธออยู่ไหม) 
แค่ซักคำให้ฉันแน่ใจ เธอคิดกับฉันแบบไหน 

ใจมันยังลังเล ทุกทีที่เราไม่ได้คุยกัน
แอบมาคิดไหวหวั่น ว่าเธอนั้นมีใคร
อยากจะรู้เวลาดีๆที่ผ่านมาจริงใช่ไหม
ฉันต้องทำยังไง กับคำถามมากมาย

( ซ้ำ * , ** )

( ซ้ำ ** )",11APF4YlwtMOLnZFtzlT5I?si=017fbead8a954ca9
ดีใจด้วยนะ,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/ดีใจด้วยนะ_อิ้งค์%20วรันธร,"
ไม่คิดว่าจะได้พบ ไม่นึกว่าจะเจอ
เธอกับเขาที่ดูช่างเข้ากันเหลือเกิน
ไม่รู้ว่าควรไปทัก หรือว่าฉันไม่ควรเข้าไป
เพราะว่าวันนี้ฉันและเธอไม่เหมือนเดิม

คำว่ารัก ที่สองเราเคยมีวันนั้น
แต่สุดท้ายก็จบลงด้วยความเสียใจ
และวันนี้ที่ต่างระหว่างฉันและเธอ
คือเธอได้พบเจอคนที่ดี

ดีใจด้วยนะ ที่เธอเริ่มต้นใหม่สักที 
ดีใจด้วยนะ ที่พบเจอความสุขสักที
ต่างกันกับฉัน ที่ยังคงจมอยู่  เหมือนว่ายังมีเธออยู่ 
ฉันต้องการจะลืมมัน เหมือนที่เธอลืมฉันวันนี้
(ฉันต้องการจะลืมมัน ได้สักที)

ฉันได้ลองตามหา ฉันพยายาม
เปิดรับให้ใครสักคนได้เข้ามา
แต่ฉันก็ยังไม่พบ ฉันยังไม่เจอ
คนที่เข้าใจฉันได้ทุกอย่างเหมือนเธอ

แต่ถ้าวันไหนที่ฉันนั้นได้เริ่มต้นใหม่
อยากให้เธอยินดีกับฉันเมื่อได้เจอ
แต่แค่วันนี้มันยังไม่ถึงวันของฉัน

อยากจะมีวันที่ได้เริ่มต้นใหม่สักที  
อยากจะมีวันที่พบเจอความสุขอย่างเธอสักที
ติดที่ฉันนั้นยังคงจมอยู่ เหมือนว่ายังมีเธออยู่  
ฉันไม่พร้อมจะลืมเธอ เหมือนที่เธอลืมฉันวันนี้",4A0mBhjXoX5xa70BtMBJUp?si=6757ddc9ddf64584
เผลอหรือตั้งใจ,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/เผลอหรือตั้งใจ_อิ้งค์%20วรันธร,"
**ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอนะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ ยิ่งมองยิ่งหวั่นไหว

ทุกคำพูดทุกคำทักทาย ทุกข้อความที่ส่งให้มา เหมือนเธอมีอะไรที่ซ่อนอยู่
ท่าทางเวลาเธอยิ้มมา ฉันว่ามันไม่ธรรมดา เหมือนเธอมีบางอย่างอยากให้รู้

เริ่มไม่ชัวร์แล้ว ว่าเธอนั้นคิดอะไร
แต่ที่ชัวร์แล้ว คือฉันนั้นคิดไปไกล

**ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอนะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ ยิ่งมองยิ่งหวั่นไหว

เธอเผลอหรือเธอนั้นตั้งใจ
เธอเผลอหรือเธอนั้นตั้งใจ
เธอเผลอหรือเธอนั้นตั้งใจ

(เพราะในวันนี้ฉันคิดไปไกล)

**ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอนะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ ยิ่งมองยิ่งหวั่นไหว

**ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอนะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ ยิ่งมองยิ่งหวั่นไหว

ฉันยอมแพ้เลย...",7GfFmnGewokTR7RwkMpbW5?si=4efedc4acc614090
ไม่อยากเหงาแล้ว,อิ้งค์ วรันธร,https://เพลง.meemodel.com/เนื้อเพลง/ไม่อยากเหงาแล้ว_อิ้งค์%20วรันธร,"
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ ได้ไหมเธอ

ก็มันชินกับการเป็นคนเหงาๆ
อ่านหนังสือ จิบกาแฟ กับดอกไม้เฉาๆ
อยู่คนเดียวไม่จำเป็นต้องให้ใครเข้ามา

เจ็บมาเยอะกับความรักจนฉันไม่กล้าหวัง
ผ่านเข้ามาและผ่านไปเป็นแบบนี้ซ้ำๆ
อยู่คนเดียวไม่จำเป็นต้องหาใครเข้ามา

แต่ทำไมวันนี้ฉันนั้นเปลี่ยนไป
ใจที่มันเคยเฉยชากลับหวั่นไหว
แค่สบตาเธอครั้งเดียว แค่ครั้งเดียว

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ ได้ไหมเธอ

OH BABAY อยู่คนเดียวมาก็ตั้งนานแล้ว
ไม่ได้มีคุยด้วยนานแล้ว คำว่ารักมันเป็นอย่างไร
OH BABAY แต่อยู่คนเดียวแบบนี้ไม่เอาแล้ว
อธิษฐานบอกใครข้างบนนั้น ขอให้ได้เจอคนที่อยู่ในฝัน

แต่ทำไมวันนี้ฉันนั้นเปลี่ยนไป
ใจที่มันเคยเฉยชากลับหวั่นไหว
แค่สบตาเธอครั้งเดียว แค่ครั้งเดียว

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ ได้ไหมเธอ

ก็ไม่รู้ที่เธอสบตามันจะเกี่ยวกันไหม
ถ้าฉันทิ้งผ้าเช็ดหน้ามันจะโบราณไปไหมนะ
มันเหงาอะไรอย่างนี้ มันเหงาอะไรเบอร์นี้
ศูนย์แปดสี่เจ็ดสี่หนึ่งศูนย์ ตุ๊ด ตุ๊ด

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี (ถ้าเธอทักมา)
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี (ถ้าเธอได้รู้)
ถ้าเธอทักมาคงจะดี (ถ้าเธอทักมา)
ได้ไหมเธอ (ได้ไหมเธอ)

ไม่อยากอยู่แบบเหงาๆ",1HKi1aNVZYF3u1Way1Gbw8?si=714afee8ba014ea8
